x,candidate name
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
3,Johnson
4,Stein
